#BeginnerAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
O,X,X,X,X,X,X,D,O
O,D,D,X,X,X,O,X,O
O,X,D,X,O,X,P,X,O
O,X,X,X,P,X,O,D,O
O,X,P,X,P,D,X,D,O
O,X,P,P,P,X,X,X,O
O,D,D,X,X,D,X,D,O
O,O,O,O,O,O,O,O,O

#NormalAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
O,X,O,X,X,X,P,X,O
O,X,O,X,X,X,O,X,O
O,X,O,X,D,P,X,X,O
O,X,X,X,P,O,O,X,O
O,X,D,P,O,X,X,D,O
O,O,O,X,O,X,O,O,O
O,D,X,X,X,X,P,P,O
O,O,O,O,O,O,O,O,O

#ExpertAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
O,X,X,P,O,D,X,X,O
O,X,X,X,O,X,O,O,O
O,X,X,X,D,P,X,P,O
O,X,O,O,O,X,O,X,O
O,X,D,X,O,X,P,P,O
O,O,O,P,O,D,O,X,O
O,X,X,X,X,P,X,X,O
O,O,O,O,O,O,O,O,O

#BeginnerAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
O,X,X,X,P,X,P,X,O
O,X,O,X,D,O,P,X,O
O,D,O,P,O,X,X,X,O
O,X,O,O,O,X,O,X,O
O,X,X,X,O,X,O,X,O
O,O,X,X,O,X,O,X,O
O,X,D,X,P,X,O,X,O
O,O,O,O,O,O,O,O,O

#NormalAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
O,X,O,X,X,X,O,D,O
O,X,O,X,O,X,O,X,O
O,P,O,X,P,X,X,X,O
O,X,O,X,X,O,O,O,O
O,X,O,X,X,X,P,X,O
O,X,O,P,X,D,X,P,O
O,X,X,X,X,X,X,X,O
O,O,O,O,O,O,O,O,O

#ExpertAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
O,X,X,X,X,X,P,X,O
O,O,X,X,O,X,O,X,O
O,X,X,X,D,X,O,X,O
O,P,O,X,P,X,P,X,O
O,X,X,X,P,X,O,P,O
O,D,X,O,O,X,O,X,O
O,X,X,X,O,X,X,X,O
O,O,O,O,O,O,O,O,O

#BeginnerAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
O,X,X,X,X,X,P,X,O
O,O,D,X,X,O,O,X,O
O,X,P,D,P,X,X,D,O
O,D,P,X,D,X,P,D,O
O,P,O,X,X,X,X,X,O
O,D,O,P,O,O,X,P,O
O,X,X,X,X,X,X,X,O
O,O,O,O,O,O,O,O,O

#NormalAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
O,P,X,X,X,X,X,X,O
O,X,O,O,O,X,X,X,O
O,D,O,D,X,X,P,X,O
O,X,O,O,O,X,P,X,O
O,P,X,X,X,X,D,X,O
O,X,P,P,O,O,D,X,O
O,X,P,X,X,D,X,D,O
O,O,O,O,O,O,O,O,O

#ExpertAgent PlayerData: Attempts=1, Backtracks=0, NearSolves=0, Resets=0, TimeTaken=0, SuggestedDifficulty=6
O,O,O,O,O,O,O,O,O
